region,per capita,formal wage,child mortality,disabled 18_60,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,the poor: retired,the poor: employable,regional production,retail,income,subsidies,welfare,registered crimes,felonies,misdemeanors,killed,grievous harm,children %,orphanage,adopted %,pension,retired %,living wage
 Московская область,47046.0,58066.0,0.3109712162008419,3.3416229855093307,37.7,11.0,683845.1,14.8,1.0,0.957,70054.0,90.1,423.5,3.8,1028.584178394544,7690863.0,6.8,49.9,5.7,44.4,916250.2792625484,347566,56156.16322658848,15884.90383584911,22647.41941183974,73941,5058,15811,955,1247,19.813056090064272,762,86.0,18852.1,23.9,14586.0
 Пензенская область,24118.0,32766.0,0.4449963779364586,4.723229911568016,129.8,6.2,379820.4,16.9,0.2,0.0,73083.1,74.4,843.3,3.5,740.1404604756722,1305563.0,13.0,32.7,12.8,54.5,449360.1814696036,171267,26333.78973331812,26662.18185057328,14444.343168426189,13511,593,3240,163,226,17.756094497163293,132,75.0,16055.7,29.4,10396.0
 Магаданская область,70864.0,102843.0,0.30441400304414,3.1590897872550467,127.0,6.2,2035007.0,13.8,0.2,0.0,67012.9,202.9,444.8,0.0,937.5735824015868,140149.0,8.7,30.7,11.5,57.8,3821294.461894127,245817,155105.07180807568,131953.17404519476,46536.900013557,2649,187,685,34,53,20.99979307736766,214,53.0,26112.75,21.2,22027.0
 Воронежская область,32078.0,36317.0,0.365325400553207,6.06689598856468,73.4,22.5,459629.5,19.9,0.9,0.5680000000000001,55009.9,98.4,583.5,4.2,824.4109276075044,2324205.0,8.5,28.5,2.3,69.2,618075.2088563617,252416,33030.1189999247,21279.305490892584,15013.82193050957,29526,1180,7121,308,323,17.64319412444255,205,86.0,16382.35,28.3,9834.0
 Саратовская область,24046.0,33545.0,0.3272005578501314,4.168874784088115,48.6,5.7,358480.4,17.8,2.2,0.4921000000000001,74819.3,475.0,466.6,1.8,769.7691270678539,2421895.0,14.8,39.0,2.5,58.5,470428.5863342548,164665,24845.092921703872,24987.04702274046,17576.360659731323,30561,1452,6593,252,250,18.628883580832365,534,70.0,15919.6,27.3,10409.0
 Брянская область,28596.0,31946.0,0.4324894514767932,5.983552276239098,82.2,6.1,347204.5,24.1,0.1,0.0,77439.0,192.1,411.3,0.0,794.9745532670687,1192491.0,13.6,44.8,3.7,51.6,475411.95715523226,225643,23717.035629493217,38982.05499676728,17335.560603811686,15178,685,2138,173,192,18.96869661909398,343,74.0,16976.79,27.5,11760.0
 Республика Башкортостан,30249.0,38738.0,0.5779504613890237,4.118692520489107,56.4,6.4,425161.0,17.4,0.5,0.9912,84448.9,123.0,376.7,3.7,1019.7736538331528,4038151.0,11.6,40.1,4.5,55.4,764871.8703733466,226691,29034.855192970743,23935.49131780114,16085.480706392604,55878,3401,11766,617,745,22.592939194200515,1036,77.0,17150.31,23.8,10477.0
 Мурманская область,46355.0,69135.0,0.3857429409041815,2.7048031386986424,48.3,6.2,1072337.1,17.7,2.4,1.8483,87319.0,72.3,449.0,20.4,874.1522840448662,741404.0,10.1,43.7,0.4,55.8,2722153.0663174195,242844,74094.52049260592,24251.1406033013,34252.44536042428,12225,543,2968,88,134,20.80727916223813,267,65.0,23236.03,21.7,18438.0
 Новгородская область,26268.0,34169.0,0.4093327875562832,5.974907681368839,55.2,9.4,471333.3,17.6,0.4,0.0,88536.3,133.0,408.0,14.0,819.1004982330496,596508.0,13.6,40.1,1.3,58.6,779095.5266316629,204547,35094.07959978743,31567.684442320977,22129.29248224668,11314,851,2716,105,117,19.735359794001088,131,79.0,17414.26,29.1,12346.0
 Республика Алтай,21677.0,36269.0,0.7445008460236886,7.299891761449332,71.1,9.2,283451.4,14.4,4.8,0.4675999999999998,89433.5,239.8,241.7,0.0,1342.0776542935132,220181.0,23.8,44.5,2.9,52.6,79131.84425540805,135351,30316.96995381073,94542.58207683676,27489.202065573325,4759,117,832,49,85,30.63842929226409,246,48.0,16146.86,18.2,11138.0
 Ярославская область,29514.0,37820.0,0.3779289493575208,4.360689808519296,45.3,7.6,495102.2,15.8,0.5,0.0,89949.9,171.6,434.8,624.4,844.4305798120137,1253389.0,9.9,31.9,2.3,65.8,765187.2599807403,204406,39746.96305652116,19342.72828492192,18859.827236396683,16087,724,3416,198,151,19.342757914741554,485,60.0,17741.61,27.9,11689.0
 Калужская область,32442.0,43994.0,0.3114918233396373,4.968503585230192,58.1,6.0,558174.6,15.5,0.2,0.0,75548.6,149.3,468.4,0.0,896.5912774605391,1002575.0,9.7,31.1,18.4,50.4,1843432.0502705527,214672,45332.61826322219,25924.555061845746,17987.382490088024,17208,1189,3599,147,196,18.70154352542204,228,72.0,17493.37,27.7,11518.0
 Сахалинская область,60770.0,92518.0,0.4471472008585226,3.563044595358948,106.1,18.4,2059206.5,17.2,0.6,0.0,83995.5,214.2,496.0,31.3,1145.0936699320237,488257.0,7.7,44.9,12.1,43.0,3366523.3820713274,338787,105039.96247218164,35631.74207824978,66974.56462477751,8988,311,1797,102,158,21.86328101798848,315,57.0,23008.29,22.7,17178.0
 Волгоградская область,24864.0,35962.0,0.4933123124650359,4.821333238026523,55.6,7.7,394256.5,17.9,1.0,0.3993,64210.5,122.5,505.7,0.0,789.3502944156568,2491036.0,11.9,46.2,4.0,49.8,726017.9741360623,167446,27184.87960294432,21756.52030997545,16542.59512909488,38666,1083,8437,315,388,19.11967550850329,277,90.0,16523.12,27.0,10604.0
 Ставропольский край,23911.0,33877.0,0.5020555171535634,5.765574052716261,23.6,4.0,308476.2,19.0,0.9,0.2916000000000001,59172.3,190.5,246.4,11.2,980.4274759387396,2803573.0,13.8,39.2,1.9,58.9,285388.12458245247,185994,22368.85588438753,26079.121172225583,18795.65825466289,35149,1826,8907,311,452,20.92968508399817,667,77.0,15849.48,24.0,10464.0
 Республика Северная Осетия-Алания,23927.0,30479.0,0.4045605001838911,6.959398608761648,46.3,9.4,267814.4,16.4,2.6,0.0,72233.0,407.2,193.8,0.0,1170.5750412219786,696837.0,13.9,34.8,6.8,58.4,102552.36159962804,163468,20795.070455945937,44913.8224070909,19150.10253473911,8071,422,1635,55,67,23.5098021488526,102,80.0,15999.89,22.8,10433.0
 Кемеровская область,25433.0,43429.0,0.5721889554224884,6.009527247503168,39.7,11.8,392374.9,16.3,1.0,0.5085000000000001,86241.9,409.9,564.9,7.0,848.2407235310893,2657854.0,13.2,39.7,4.5,55.8,1140624.5289696124,153033,36544.9687779088,23607.495148657526,21191.758463783182,51726,2397,10350,537,799,21.669098453112927,1776,67.0,17900.460000000003,25.2,11023.0
 Тамбовская область,27889.0,31063.0,0.3228844342795641,7.044261588038204,45.0,5.1,378455.8,19.7,0.6,1.0404,64949.8,124.6,475.7,4.5,738.3178312745594,1006748.0,10.8,33.5,7.6,58.9,412539.0868221244,198282,23403.13804798222,29485.26675327888,16066.086051325656,13253,745,2251,156,160,16.9300559822319,250,85.0,15623.31,30.3,10998.0
 Курская область,29786.0,35805.0,0.4609812314784327,8.907943720573744,51.3,5.2,487030.7,17.1,0.6,0.7636000000000001,54094.0,139.5,398.4,0.0,825.2657589437757,1104008.0,9.9,34.2,6.5,59.2,686291.1708973123,207134,29935.23162208063,23178.07734676741,19648.68008202839,13903,590,2871,150,165,18.71952014840472,221,66.0,16505.25,28.3,10748.0
 Республика Марий Эл,21264.0,32278.0,0.4667268894911172,6.016031250086945,73.7,2.9,290803.3,16.5,1.8,1.8518,93490.3,203.2,662.5,0.0,977.602856566733,679417.0,19.5,32.8,5.8,61.5,478229.0615925124,134692,25149.21304957044,37489.498060484206,16555.959006030167,7595,346,2046,88,148,21.808550566147154,227,65.0,15818.7,25.3,10568.0
 Иркутская область,27571.0,49885.0,0.6153959538637285,7.072957350413998,81.7,15.7,631591.9,16.3,1.6,1.9608,99980.3,242.2,567.7,6.0,1134.872843806418,2391193.0,17.6,41.5,7.0,51.5,1018671.8788487588,164879,43268.10677989606,28922.77278135224,28970.559883706585,42174,1357,10665,594,960,24.23459754189645,1469,71.0,18809.6,22.2,12745.0
 Рязанская область,27312.0,36459.0,0.5286748649580508,6.838815874077313,51.1,17.2,412845.1,19.0,0.3,0.138,70384.8,298.4,427.7,0.0,784.6889606952087,1108847.0,12.8,37.0,3.3,59.7,707304.785781988,196393,32955.326395895914,22270.609448733685,16692.65462232391,10022,634,1857,167,117,17.74951819322233,288,73.0,16966.14,29.7,11643.0
 Астраханская область,25199.0,38885.0,0.5865640179635231,3.632293082577303,22.2,0.2,526950.9,19.2,0.8,2.9028,64679.9,415.1,624.5,0.0,1084.8275272375126,1005782.0,15.6,42.1,5.5,52.4,720432.2167229082,174527,28098.35807748598,23911.90633542856,21936.46336880159,14019,736,2818,93,169,22.620408796339564,376,66.0,15427.85,23.9,11287.0
 Камчатский край,55373.0,85623.0,0.4320987654320987,3.150733201420324,63.1,9.2,942802.0,15.9,3.0,4.466,77458.3,229.0,513.7,0.0,1035.090857975311,313016.0,14.6,42.6,5.9,51.5,1142524.7217394635,202352,97703.07823430748,213153.4946492831,49985.9432105707,5884,322,1071,84,89,20.95420042425946,264,49.0,25988.5,20.1,22535.0
 Орловская область,26843.0,31862.0,0.5754141238012206,5.552396068679203,90.3,4.4,390170.2,18.8,1.4,0.0,94883.0,315.4,604.7,11.7,781.8698892157852,733498.0,12.9,41.5,8.0,50.5,408869.2948038032,194977,26411.03968170329,29409.081247229027,17699.70742933178,8554,352,1528,107,113,18.353151610502007,322,71.0,17465.36,28.9,11132.0
