region,per capita,formal wage,child mortality,disabled 18_60,alco (2018),drug (2018),grp,living area,bad conditions,no funds,morbidity (2016),congenital malformation (2016),psychosis (2016),teenage pregnancy (2016),birth rate,population,poverty,the poor: children,the poor: retired,the poor: employable,regional production,retail,income,subsidies,welfare,registered crimes,felonies,misdemeanors,killed,grievous harm,children %,orphanage,adopted %,pension,retired %,living wage
 Чеченская Республика,24596.0,29771.0,0.6011092291853476,17.854090820888523,4.1,0.6,171029.5,19.2,0.6,0.5539,52150.1,73.6,157.9,0.0,2036.2798787605009,1478726.0,20.4,43.7,6.2,50.1,58824.50190231321,123955,11969.98465343816,72294.9868523648,33844.20102169029,3050,55,717,24,21,37.08949460549149,0,100.0,16165.0,10.3,11572.0
 Республика Хакасия,23837.0,43800.0,0.3917910447761193,4.160524450744154,79.1,17.9,500422.8,17.9,1.0,0.0,86026.5,92.8,331.0,0.0,1003.2530855647605,534262.0,18.5,43.2,2.4,54.3,887348.4346631427,175577,33128.43189616704,36074.96447087759,23153.434082903143,10839,642,1850,129,175,24.14788998656089,86,88.0,17331.95,23.0,12428.0
 Санкт-Петербург,49207.0,68667.0,0.3445228088529735,3.935286300264535,14.7,9.4,971158.0,15.7,0.1,0.4815,101498.4,254.5,403.5,11.8,1027.0163525293513,5398064.0,5.9,25.7,9.8,64.6,1065465.9800624817,283494,76195.77193962132,10021.505932204582,28723.983265111343,61309,5388,17529,366,528,17.544049125760644,1265,53.0,19203.41,26.4,13074.0
 Тульская область,29385.0,40889.0,0.5919348871624122,6.75275601824392,69.0,9.0,486544.2,16.6,0.8,0.0,72165.3,109.1,313.7,16.5,737.4531674268327,1466127.0,10.1,38.8,5.3,56.0,1271668.6764107065,205652,37030.30556116217,19958.24151079681,19379.83544399632,13028,747,3080,183,215,16.695143053773652,477,62.0,18273.1,29.9,11814.0
 Оренбургская область,24719.0,35075.0,0.3674121405750798,5.696993033310663,93.6,3.7,538971.9,19.0,1.8,1.273,79188.8,322.9,677.8,23.5,959.713005950936,1956835.0,14.0,42.8,3.3,53.9,900190.4653074992,169416,29101.61605464947,23720.09452656969,18627.68194559072,27469,2178,5646,284,360,22.29533915736381,959,77.0,16338.86,24.9,10438.0
 Москва,77283.0,100070.0,0.3643016741685826,3.880841829329663,23.1,8.7,1567644.8,13.8,0.5,4.096,64633.3,150.2,276.2,0.0,974.3116445322672,12678079.0,6.0,38.4,13.2,48.5,1543010.9280751443,408674,128074.71844580316,22752.9334536636,41626.81112808967,146448,6923,46511,493,980,17.08819609027519,1324,66.0,19115.1,26.9,20260.0
 Амурская область,35499.0,52430.0,0.5348274544759964,5.766846327083175,113.3,24.4,571362.1,17.3,1.3,1.0731000000000002,83412.0,370.1,446.7,4.4,993.9952711494548,790044.0,15.2,38.4,4.7,56.9,512093.5884583644,245233,65276.81410012606,43050.62192403208,33042.21030727402,18420,560,4967,223,255,22.619246522978468,676,65.0,17998.7,22.4,14331.0
 Республика Крым,22950.0,34181.0,0.5405978376086495,5.839726897649449,57.6,14.6,270363.8,19.0,0.7,0.2299999999999999,52086.6,164.8,286.7,0.0,986.4991618835296,1912622.0,17.2,48.2,1.7,50.1,179171.73804337712,148071,25348.120918362336,85423.89769944087,18328.817717248887,21654,841,3970,221,261,20.115631839432982,280,76.0,16052.48,27.5,11846.0
 Костромская область,25780.0,32220.0,0.777489818585709,6.195035677258035,61.1,8.9,323951.6,14.5,1.5,0.0,71386.8,134.9,446.5,18.9,852.8777915485841,633385.0,12.5,39.9,6.6,53.5,551233.7886119816,179587,29114.63696697901,31184.329868121284,17116.12999992106,9114,452,2564,72,99,20.476013798874305,112,91.0,16552.76,27.7,11993.0
 Архангельская область без Ненецкого АО,34852.0,52779.0,0.3256231753873793,4.6742700350604895,64.7,9.2,514200.4,16.9,1.4,1.2998,99842.1,458.9,685.3,13.8,815.2512211375803,1092424.0,12.3,28.5,7.2,64.3,607920.5473698856,250033,48483.000199153445,38856.66451151751,27147.1516554012,19074,823,4569,166,288,20.708809033854987,785,60.0,21753.88,26.4,14507.0
 Красноярский край,32832.0,54426.0,0.5278592375366569,4.861097545221674,69.1,14.9,951613.7,16.6,1.8,1.2567,78434.8,165.5,565.5,5.5,1011.249871347804,2866255.0,17.0,35.8,4.8,59.4,1794098.1197834804,196888,50422.45275722154,20493.742930398726,31182.919872795686,48141,2567,11081,604,887,22.09028854725068,1868,59.0,19094.34,22.5,13839.0
 Челябинская область,26628.0,39349.0,0.3999759412967641,4.2894635363871405,69.6,20.6,467537.3,16.0,0.8,0.525,88428.4,397.2,667.3,7.0,959.2746761813296,3466369.0,12.6,40.6,6.0,53.4,991573.8365996232,173367,33079.688118616345,20279.124034342567,19797.05565102849,63345,4637,10523,483,779,21.56253416759728,1746,60.0,17496.46,25.2,12056.0
 Тюменская область без округов,31151.0,51501.0,0.3786060896923159,4.150501366608236,61.2,13.2,757076.0,18.1,3.3,5.5188,64208.6,40.8,340.5,37.8,1219.7739583821165,1537416.0,13.6,37.9,7.5,54.7,1186776.8978858031,268215,43789.16499799664,11601.288548701195,29829.271973233008,24733,1495,5401,305,523,23.869271556950103,300,90.0,18490.89,21.3,12376.0
 Кировская область,24192.0,32692.0,0.3766833035125718,5.239483030628026,56.4,4.1,315153.9,14.9,2.5,0.9234,74475.5,107.2,446.1,10.2,841.1742059977726,1262402.0,14.0,40.8,3.4,55.7,484981.7087742256,163224,26872.93275773486,28985.39533933723,18749.33658216638,18911,795,4822,184,301,20.11958155959829,715,59.0,16997.95,28.9,11441.0
 Ростовская область,31427.0,35622.0,0.5481704810195971,7.109478663871849,29.6,10.6,403949.1,18.2,0.8,0.8280000000000001,81083.3,98.4,204.9,8.3,869.1413950237516,4197821.0,13.0,43.9,1.6,54.5,515195.5041198756,232860,29611.592428931584,17090.78626783991,18264.642537163923,61719,2717,12184,460,509,18.926438264042226,398,92.0,16079.4,26.6,11493.0
 Тверская область,27681.0,36077.0,0.4466501240694789,5.227859714354057,41.0,5.0,391722.2,17.5,2.2,1.8876000000000004,86566.6,180.7,729.8,0.0,799.3627313688977,1260379.0,11.4,31.0,3.8,65.1,704410.0229375449,199736,35742.59376915991,20128.20101628161,15994.474677854832,21714,574,5060,221,215,18.71294269422134,450,69.0,17145.64,28.9,12041.0
 Кабардино-Балкарская Республика,21957.0,29899.0,0.5375330064126745,6.181028615606681,51.6,10.0,210674.1,18.9,0.5,0.0,44792.0,150.2,224.4,8.2,1221.1665802959635,868350.0,24.2,35.9,6.7,57.4,115403.30530316116,154476,15302.481452617032,44625.75344839064,22329.93608567974,7348,398,1682,96,128,23.818851845454024,110,67.0,14138.36,20.2,11819.0
 Республика Коми,36677.0,57156.0,0.2375923970432946,5.636761255242919,107.5,10.7,749219.3,15.5,8.8,6.588600000000001,111709.0,298.9,639.0,42.1,923.3698122912028,820473.0,15.3,40.1,6.6,53.3,1329030.0464000644,201675,67651.16898179465,33079.85915597466,32569.0181151604,17201,690,3993,198,288,22.480081611460704,732,61.0,22347.96,22.5,15715.0
